BBMP Zone,Population,95% Confidence Interval (CI),Male,Female,Unknown,Neutered (%),Area,Dogs per sq. km
East,37685,36993-38377,21584,11228,4873,71.75,90.57,416.09
West,22025,21493-22557,13870,6261,1894,79.48,50.1,439.62
South,23241,22692-23790,13116,7066,3059,77.32,61.08,380.50
Dasarahalli,21221,20700-21742,14580,4850,1791,77.46,27.83,762.52
RR Nagar,41266,40541-41991,24638,11899,4729,67.64,115.4,357.59
Bommanahalli,39183,38475-39891,23860,9299,6024,72.18,99.34,394.43
Yalahanka,36343,35679-37007,21165,13282,1896,66.5,98.52,368.89
Mahadevapura,58341,57513-59229,32528,18872,6971,59.34,169.71,343.77
TOTAL,279335,277450-281220,165341,82757,31237,71.81,712.55,392.02
